party,votes,seats
SPD,11955434,206
CDU,8775471,152
Grüne,6852206,118
FDP,5319952,92
AfD,4803902,83
CSU,2402827,45
Die Linke,2270906,39
Freie Wähler,1127784,0
Tierschutzpartei,675353,0
dieBasis,630153,0
Die PARTEI,461570,0
Team Todenhöfer,214535,0
Piraten,169923,0
Volt,165474,0
ÖDP,112314,0
NPD,64574,0
SSW,55578,1
Gesundheitsforschung,49349,0
Die Humanisten,47711,0
Bündnis C,39868,0
BP,32790,0
V-Partei³,31884,0
Unabhängige,22736,0
Die Grauen,19443,0
MLPD,17799,0
du.,17811,0
DKP,14925,0
Tierschutzallianz,13672,0
LIEBE,12967,0
LKR,11159,0
LfK,9189,0
DiB,7184,0
III. Weg,7832,0
Gartenpartei,7611,0
BÜRGERBEWEGUNG,7491,0
Menschliche Welt,3786,0
BÜNDNIS21,3488,0
PdF,3228,0
SGP,1417,0
BüSo,727,0
